subbasin,year,area_ha,avg_water_m3,avg_flow_liter_s,avg_water_m3_wip,avg_flow_liter_s_wip,avg_flow_liter_s_wip_vector,avg_flow_liter_s_wip_pct,avg_tn_kg,avg_tp_kg,avg_tsed_kg,avg_nitrate_kg,avg_dissolved_p_kg,avg_tn_kg_wip,avg_tp_kg_wip,avg_tsed_kg_wip,avg_nitrate_kg_wip,avg_dissolved_p_kg_wip,avg_tn_kg_wip_vector,avg_tp_kg_wip_vector,avg_tsed_kg_wip_vector,avg_nitrate_kg_wip_vector,avg_dissolved_p_kg_wip_vector,avg_tn_wip_pct,avg_tp_wip_pct,avg_tsed_wip_pct,avg_nitrate_wip_pct,avg_dissolved_p_wip_pct
30,2011,655.9,364566.5833,140.65,365595.9167,141.0466667,0.3975,0.255,870.105,91.60666667,37003.69167,92.25166667,1507.686667,640.3775,57.9375,22683.20833,92.51416667,1097.148333,-229.7291667,-33.67,-14320.48333,0.259166667,-410.5391667,-28.42666667,-32.1425,-34.64416667,0.255,-28.63083333
30,2012,655.9,247522.4167,95.49416667,247770.6667,95.59083333,0.095833333,0.160833333,749.7483333,62.585,21808.675,62.635,1855.4125,656.2275,53.72916667,18091.90833,62.69583333,1623.779167,-93.52083333,-8.855833333,-3716.766667,0.0625,-231.635,-13.74583333,-18.19416667,-21.2,0.160833333,-13.87416667
30,2013,655.9,232865.75,89.84166667,234916.6667,90.63083333,0.790833333,0.78,538.0033333,62.365,24049.66667,58.92666667,1334.198333,519.0366667,66.41083333,24924.2,59.44583333,1232.776667,-18.9675,4.044166667,874.5333333,0.5175,-101.4216667,-10.51416667,-3.23,-9.426666667,0.78,-11.22916667
30,2014,655.9,256443.25,98.93583333,258148.5833,99.59333333,0.658333333,0.668333333,736.63,63.24,22573.89167,64.8925,1782.8775,662.5691667,61.87333333,21535.38333,65.325,1571.6025,-74.06083333,-1.366666667,-1038.508333,0.431666667,-211.2758333,-12.74083333,-5.464166667,-9.34,0.668333333,-13.31333333
31,2010,1.024,356.5,0.138333333,345.8333333,0.1325,-0.005,-3.780833333,0.37,0.153333333,217.5991667,0,1.038333333,0.146666667,0.025833333,42.24,0,0.428333333,-0.2225,-0.1275,-175.3583333,0,-0.611666667,-52.18333333,-83.395,-80.54333333,-3.780833333,-50.52583333
31,2011,1.024,611.8333333,0.235,620.5,0.240833333,0.0025,3.574166667,1.093333333,0.233333333,307.7975,0,1.8375,0.56,0.040833333,59.98916667,0,0.8925,-0.5325,-0.190833333,-247.8083333,0,-0.945,-50.89,-76.04083333,-73.86833333,3.574166667,-51.65833333
31,2012,1.024,408.5,0.156666667,410.25,0.158333333,0.001666667,0.5075,1.155833333,0.2025,223.6591667,0,2.699166667,0.78,0.069166667,52.56416667,0,1.9075,-0.375833333,-0.134166667,-171.0941667,0,-0.791666667,-26.70833333,-72.87083333,-76.89166667,0.5075,-26.9025
31,2013,1.024,402,0.155,406.0833333,0.156666667,0.001666667,3.210833333,0.885,0.225,240.9816667,0,1.960833333,0.625,0.09,62.46333333,0,1.3925,-0.260833333,-0.1375,-178.5175,0,-0.569166667,-28.455,-72.17666667,-76.92583333,3.210833333,-30.0225
31,2014,1.024,427.4166667,0.165,453,0.174166667,0.01,10.16416667,1.175833333,0.2325,252.585,0,2.7025,0.896666667,0.085,60.75666667,0,2.0425,-0.28,-0.146666667,-191.8291667,0,-0.6625,-20.97,-71.84833333,-77.74833333,10.16416667,-26.71916667
32,2010,520.29,165534.1667,63.86416667,165745.8333,63.94666667,0.0825,0.113333333,189.5166667,18.68833333,8584.785,33.2275,562.0416667,185.7875,17.94916667,7587.5625,33.27,550.7941667,-3.7275,-0.736666667,-997.2225,0.0425,-11.24916667,-1.651666667,-4.055,-12.4325,0.113333333,-1.760833333
32,2011,520.29,281900,108.7566667,282542.0833,109.0058333,0.248333333,0.393333333,378.0775,34.34,13874.4,56.585,630.0866667,369.9683333,32.86583333,12617.0325,56.715,614.8591667,-8.105833333,-1.473333333,-1257.3675,0.129166667,-15.23,-2.620833333,-4.133333333,-8.315833333,0.393333333,-2.985
32,2012,520.29,188754.25,72.82166667,189209.5,72.9975,0.175,0.298333333,306.9291667,23.2825,9278.505,37.88666667,733.7425,299.5591667,22.155,8411.355,37.97916667,715.3666667,-7.369166667,-1.126666667,-867.15,0.091666667,-18.375,-2.025,-5.32,-8.670833333,0.298333333,-2.315833333
32,2013,520.29,183907.25,70.9525,184417.6667,71.1475,0.195833333,0.370833333,286.68,23.15333333,9365.22,36.915,704.6066667,281.5625,22.5025,8454.7125,37.01666667,689.7775,-5.115,-0.65,-910.5075,0.1025,-14.8275,-1.680833333,-2.3,-8.771666667,0.370833333,-2.04
32,2014,520.29,198076.1667,76.4175,198935,76.74916667,0.330833333,0.6925,310.3533333,25.75416667,9972.225,39.75833333,717.4016667,303.9808333,24.7125,8931.645,39.93166667,700.0541667,-6.3725,-1.04,-1040.58,0.171666667,-17.3475,-1.788333333,-3.34,-10.92333333,0.6925,-2.4575
33,2010,1866.6,641524.0833,247.5008333,641261.1667,247.4,-0.101666667,-0.054166667,686.1308333,54.75416667,22865.85,461.9858333,1917.771667,555.0016667,39.51083333,17266.05,461.7975,1574.865,-131.1283333,-15.24416667,-5599.8,-0.188333333,-342.9083333,-17.725,-24.77416667,-26.56833333,-0.054166667,-17.68166667
33,2011,1866.6,1127355,434.9366667,1129893.5,435.9166667,0.980833333,0.245,1596.565833,108.4183333,40131.9,811.8525,2643.848333,1253.265833,76.21833333,28621.2,813.6825,2054.050833,-343.2983333,-32.19833333,-11510.7,1.8275,-589.7966667,-23.34666667,-26.9775,-27.21833333,0.245,-23.52916667
33,2012,1866.6,741186.3333,285.9516667,741870.8333,286.215,0.265,0.075,1695.806667,149.1733333,48064.95,533.7575,4026.535,1532.790833,136.7308333,43242.9,534.2491667,3640.506667,-163.0166667,-12.44416667,-4822.05,0.494166667,-386.0283333,-10.10583333,-15.80166667,-20.42083333,0.075,-10.17
33,2013,1866.6,722733.5833,278.8325,725822.5,280.0233333,1.190833333,0.413333333,1365.574167,169.0833333,64864.35,520.4683333,3103.663333,1339.285,173.7491667,65486.55,522.6933333,2988.0475,-26.28916667,4.666666667,622.2,2.225833333,-115.6158333,-5.715,-4.7425,-13.2825,0.413333333,-6.100833333
33,2014,1866.6,799216,308.3391667,802356.5,309.5508333,1.2125,0.413333333,1679.316667,157.2625,55686.9,575.5458333,3763.94,1590.81,155.55,53975.85,577.8075,3544.649167,-88.50833333,-1.7125,-1711.05,2.2625,-219.2883333,-6.820833333,-2.269166667,-5.675,0.413333333,-7.198333333
34,2010,1.5873,489.4166667,0.188333333,489.0833333,0.189166667,-0.000833333,0.186666667,1.015833333,0.148333333,175.925,0,3.071666667,0.586666667,0.121666667,170.1058333,0,1.770833333,-0.429166667,-0.025833333,-5.820833333,0,-1.298333333,-43.49166667,-16.61666667,-3.324166667,0.186666667,-43.71
34,2011,1.5873,875.3333333,0.3375,874.5833333,0.336666667,0,-0.1825,2.090833333,0.258333333,257.8041667,0,3.589166667,1.305,0.188333333,241.6666667,0,2.221666667,-0.783333333,-0.07,-16.13666667,0,-1.366666667,-41.3925,-30.755,-5.483333333,-0.1825,-41.41833333
34,2012,1.5873,620.25,0.239166667,625,0.24,0.0025,1.094166667,2.605,0.238333333,200.5291667,0,6.476666667,2.2075,0.224166667,197.75,0,5.455,-0.3975,-0.0125,-2.7775,0,-1.02,-15.4775,-9.493333333,-2.331666667,1.094166667,-16.44166667
34,2013,1.5873,574.9166667,0.2225,592.75,0.23,0.006666667,2.704166667,1.669166667,0.245,218.3866667,0,4.265833333,1.619166667,0.260833333,223.4133333,0,3.954166667,-0.05,0.014166667,5.025833333,0,-0.310833333,-7.1375,4.814166667,1.531666667,2.704166667,-9.5725
34,2014,1.5873,628.25,0.2425,636.5833333,0.244166667,0.0025,0.989166667,2.6825,0.261666667,225,0,6.701666667,2.4475,0.261666667,225.7925,0,6.0525,-0.235833333,0.000833333,0.794166667,0,-0.65,-11.17666667,0.589166667,0.1925,0.989166667,-12.0375
35,2010,712.68,238289.3333,91.9325,235141.1667,90.72,-1.2125,-1.243333333,556.5441667,65.15,24231.12,65.51833333,1536.5125,315.3616667,29.75333333,12115.56,64.65333333,932.6208333,-241.1825,-35.39583333,-12115.56,-0.865833333,-603.8933333,-38.23833333,-45.3825,-45.6625,-1.243333333,-37.48583333
35,2011,712.68,420164.0833,162.1025,419289.6667,161.7633333,-0.336666667,-0.365833333,988.3683333,112.8408333,45136.4,115.5266667,1649.791667,632.1466667,55.4125,20073.82,115.2858333,1055.5975,-356.2191667,-57.43,-25062.58,-0.24,-594.1933333,-35.4175,-44.3725,-48.16666667,-0.365833333,-35.30416667
